0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/Blog/BlogController.js HTTP/1.1" 200 4679
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/User/UserController.js HTTP/1.1" 200 3830
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/Blog/BlogService.js HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/Chat/ChatController.js HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/Chat/ChatService.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/Forum/ForumController.js HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/Forum/ForumService.js HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/User/UserService.js HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/lib/js/stomp.js HTTP/1.1" 200 16725
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/Common/CommonHome.html HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/Common/CommonHeader.html HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/Headers/DefaultHeader.html HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:56 +0530] "GET /StudentsMeetFrontEnd/User/Login.html HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:52:05 +0530] "POST /StudentsMeetControllerRest/validateUser/ HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:52:05 +0530] "POST /StudentsMeetControllerRest/validateUser/ HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:52:05 +0530] "GET /StudentsMeetFrontEnd/User/UserHome.html HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:52:05 +0530] "GET /StudentsMeetFrontEnd/Headers/UserHeader.html HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:52:10 +0530] "GET /StudentsMeetFrontEnd/User/FriendHome.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:52:18 +0530] "GET /StudentsMeetFrontEnd/Forum/ForumHome.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:52:22 +0530] "GET /StudentsMeetControllerRest/getAllForum HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:52:22 +0530] "GET /StudentsMeetFrontEnd/Forum/ForumViewAll.html HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:52:37 +0530] "GET /StudentsMeetFrontEnd/lib/Bootstrap/bootstrap.min.css.map HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:53:10 +0530] "GET /StudentsMeetFrontEnd/Blog/BlogHome.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:53:36 +0530] "GET /StudentsMeetControllerRest/userLogout/US002 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:53:45 +0530] "POST /StudentsMeetControllerRest/validateUser/ HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:53:45 +0530] "GET /StudentsMeetFrontEnd/Admin/AdminHome.html HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:53:51 +0530] "GET /StudentsMeetFrontEnd/lib/Bootstrap/bootstrap.min.css.map HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:54:28 +0530] "POST /StudentsMeetControllerRest/validateUser/ HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:54:33 +0530] "GET /StudentsMeetControllerRest/userLogout/US002 HTTP/1.1" 200 -
